column,seed_idx,job,jct_ours_s,jct_lru_s,delta_pct
a100_swe,0,29,972.57,1085.66,10.42
a100_swe,0,30,739.21,817.14,9.54
a100_swe,0,31,846.36,930.83,9.08
a100_swe,0,32,530.16,590.29,10.19
a100_swe,0,33,643.9,732.1,12.05
a100_swe,0,34,640.06,739.98,13.5
a100_swe,0,35,610.47,699.72,12.76
a100_swe,0,36,958.2,1070.42,10.48
a100_swe,0,37,822.63,917.51,10.34
a100_swe,0,38,816.79,895.95,8.83
a100_swe,0,39,951.53,1070.97,11.15
a100_swe,0,40,667.56,750.21,11.02
a100_swe,0,41,733.89,826.04,11.16
a100_swe,0,42,976.38,1090.34,10.45
a100_swe,0,43,836.54,927.74,9.83
a100_swe,0,44,586.2,660.5,11.25
a100_swe,0,45,890.79,1000.76,10.99
a100_swe,0,46,910.59,1011.18,9.95
a100_swe,0,47,503.75,550.72,8.53
a100_swe,0,48,643.18,691.22,6.95
a100_swe,0,49,679.57,762.19,10.84
a100_swe,0,50,739.95,818.39,9.58
a100_swe,0,51,524.41,572.62,8.42
a100_swe,0,52,794.29,867.67,8.46
a100_swe,0,53,944.35,1056.18,10.59
a100_swe,0,54,928.54,1030.78,9.92
a100_swe,0,55,802.21,880.38,8.88
a100_swe,0,56,690.03,754.77,8.58
a100_swe,0,57,780.4,855.66,8.8
a100_swe,0,58,889.37,996.79,10.78
a100_swe,0,59,1025.44,1137.11,9.82
a100_swe,0,60,818.12,909.38,10.04
a100_swe,0,61,631.53,696.38,9.31
a100_swe,0,62,697.22,784.49,11.12
a100_swe,0,63,671.51,742.2,9.52
a100_swe,0,64,791.58,882.3,10.28
a100_swe,0,65,846.1,948.42,10.79
a100_swe,0,66,779.45,858.29,9.19
a100_swe,0,67,768.39,837.88,8.29
a100_swe,0,68,888.45,996.35,10.83
a100_swe,0,69,888.67,981.68,9.48
a100_swe,0,70,725.6,818.2,11.32
a100_swe,0,71,856.86,956.5,10.42
a100_swe,0,72,648.31,700.94,7.51
a100_swe,0,73,719.56,794.37,9.42
a100_swe,0,74,740.93,816.7,9.28
a100_swe,0,75,806.91,898.32,10.18
a100_swe,0,76,907.03,1015.83,10.71
a100_swe,0,77,769.4,849.93,9.48
a100_swe,0,78,851.61,932.92,8.72
a100_swe,0,79,702.91,782.51,10.17
a100_swe,0,80,580.25,621.32,6.61
a100_swe,0,81,723.92,796.94,9.16
a100_swe,0,82,756.92,839.45,9.83
a100_swe,0,83,866.79,965.88,10.26
a100_swe,0,84,866.84,983.58,11.87
a100_swe,0,85,836.65,942.01,11.18
a100_swe,0,86,885.8,1000.04,11.42
a100_swe,0,87,672.79,730.82,7.94
a100_swe,0,88,683.27,743.57,8.11
a100_swe,0,89,811.25,918.69,11.69
a100_swe,0,90,846.04,943.53,10.33
a100_swe,0,91,752.16,828.56,9.22
a100_swe,0,92,780.98,890.1,12.26
a100_swe,0,93,827.31,935.12,11.53
a100_swe,0,94,812.65,904.83,10.19
a100_swe,0,95,594.16,641.37,7.36
a100_swe,0,96,737.5,825.69,10.68
a100_swe,0,97,859.83,965.35,10.93
a100_swe,0,98,845.59,963.03,12.19
a100_swe,0,99,796.37,884.64,9.98
a100_swe,1,0,580.07,685.3,15.35
a100_swe,1,1,344.1,417.73,17.63
a100_swe,1,2,301.19,351.7,14.36
a100_swe,1,3,668.55,771.77,13.37
a100_swe,1,4,252.7,349.89,27.78
a100_swe,1,5,109.1,132.63,17.74
a100_swe,1,6,225.66,266.27,15.25
a100_swe,1,7,546.03,642.27,14.99
a100_swe,1,8,683.37,806.58,15.28
a100_swe,1,9,517.51,634.21,18.4
a100_swe,1,10,135.38,213.85,36.69
a100_swe,1,11,865.58,989.26,12.5
a100_swe,1,12,442.74,548.12,19.23
a100_swe,1,13,256.39,314.84,18.57
a100_swe,1,14,515.72,615.13,16.16
a100_swe,1,15,475.24,536.12,11.36
a100_swe,1,16,493.69,603.52,18.2
a100_swe,1,17,666.26,800.01,16.72
a100_swe,1,18,442.99,572.39,22.61
a100_swe,1,19,673.95,832.54,19.05
a100_swe,1,20,321.92,415.27,22.48
a100_swe,1,21,371.69,442.1,15.93
a100_swe,1,22,754.79,863.56,12.6
a100_swe,1,23,696.37,839.44,17.04
a100_swe,1,24,698.53,845.4,17.37
a100_swe,1,25,126.75,169.29,25.13
a100_swe,1,26,387.55,492.61,21.33
a100_swe,1,27,822.66,926.08,11.17
a100_swe,1,28,616.7,688.72,10.46
a100_swe,1,29,979.82,1098.66,10.82
a100_swe,1,30,779.57,889.12,12.32
a100_swe,1,31,806.2,908.79,11.29
a100_swe,1,32,533.11,630.16,15.4
a100_swe,1,33,583.8,676.7,13.73
a100_swe,1,34,646.84,711.73,9.12
a100_swe,1,35,597.92,709.42,15.72
a100_swe,1,36,933.69,1037.32,9.99
a100_swe,1,37,785.0,899.82,12.76
a100_swe,1,38,822.64,911.56,9.75
a100_swe,1,39,945.65,1053.39,10.23
a100_swe,1,40,670.6,736.5,8.95
a100_swe,1,41,764.57,858.15,10.91
a100_swe,1,42,952.15,1077.14,11.6
a100_swe,1,43,807.9,898.68,10.1
a100_swe,1,44,579.07,667.66,13.27
a100_swe,1,45,901.09,997.81,9.69
a100_swe,1,46,909.37,999.11,8.98
a100_swe,1,47,536.66,612.31,12.35
a100_swe,1,48,628.97,711.65,11.62
a100_swe,1,49,719.31,799.19,10.0
a100_swe,1,50,707.31,801.11,11.71
a100_swe,1,51,549.73,623.44,11.82
a100_swe,1,52,808.42,868.88,6.96
a100_swe,1,53,949.3,1057.7,10.25
a100_swe,1,54,925.4,1046.56,11.58
a100_swe,1,55,813.05,904.87,10.15
a100_swe,1,56,689.12,762.61,9.64
a100_swe,1,57,783.11,857.1,8.63
a100_swe,1,58,883.75,992.83,10.99
a100_swe,1,59,1028.84,1146.39,10.25
a100_swe,1,60,808.3,903.9,10.58
a100_swe,1,61,630.95,690.99,8.69
a100_swe,1,62,716.67,794.71,9.82
a100_swe,1,63,682.84,752.65,9.28
a100_swe,1,64,796.32,869.66,8.43
a100_swe,1,65,871.35,973.61,10.5
a100_swe,1,66,772.68,849.46,9.04
a100_swe,1,67,786.04,886.59,11.34
a100_swe,1,68,886.29,988.55,10.34
a100_swe,1,69,885.75,987.12,10.27
a100_swe,1,70,746.56,840.8,11.21
a100_swe,1,71,873.86,970.15,9.92
a100_swe,1,72,625.9,681.84,8.2
a100_swe,1,73,715.65,817.65,12.47
a100_swe,1,74,742.64,810.47,8.37
a100_swe,1,75,781.05,876.72,10.91
a100_swe,1,76,899.08,1010.33,11.01
a100_swe,1,77,782.75,866.66,9.68
a100_swe,1,78,836.19,945.71,11.58
a100_swe,1,79,721.81,779.03,7.35
a100_swe,1,80,558.26,604.15,7.59
a100_swe,1,81,703.29,751.83,6.46
a100_swe,1,82,763.64,840.12,9.1
a100_swe,1,83,872.54,982.21,11.17
a100_swe,1,84,876.63,985.27,11.03
a100_swe,1,85,844.09,951.86,11.32
a100_swe,1,86,900.26,1017.44,11.52
a100_swe,1,87,675.44,745.45,9.39
a100_swe,1,88,681.97,751.45,9.25
a100_swe,1,89,817.73,922.96,11.4
a100_swe,1,90,859.81,964.63,10.87
a100_swe,1,91,744.62,838.96,11.24
a100_swe,1,92,797.46,890.34,10.43
a100_swe,1,93,843.81,947.9,10.98
a100_swe,1,94,819.93,924.16,11.28
a100_swe,1,95,590.89,640.75,7.78
a100_swe,1,96,773.58,845.18,8.47
a100_swe,1,97,875.08,984.63,11.13
a100_swe,1,98,857.64,971.25,11.7
a100_swe,1,99,808.6,896.32,9.79
a100_swe,2,0,540.73,657.69,17.78
a100_swe,2,1,481.34,600.14,19.8
a100_swe,2,2,262.75,375.34,30.0
a100_swe,2,3,548.81,671.02,18.21
a100_swe,2,4,433.61,514.04,15.65
a100_swe,2,5,162.45,206.31,21.26
a100_swe,2,6,179.76,220.01,18.29
a100_swe,2,7,412.0,522.01,21.07
a100_swe,2,8,675.44,787.81,14.26
a100_swe,2,9,478.84,554.79,13.69
a100_swe,2,10,142.9,221.26,35.41
a100_swe,2,11,718.72,859.25,16.35
a100_swe,2,12,445.78,564.78,21.07
a100_swe,2,13,220.8,299.39,26.25
a100_swe,2,14,434.36,528.94,17.88
a100_swe,2,15,410.28,499.88,17.93
a100_swe,2,16,583.29,658.9,11.48
a100_swe,2,17,672.73,791.41,15.0
a100_swe,2,18,420.22,462.95,9.23
a100_swe,2,19,741.22,880.3,15.8
a100_swe,2,20,248.01,332.73,25.46
a100_swe,2,21,364.34,469.92,22.47
a100_swe,2,22,772.06,890.86,13.34
a100_swe,2,23,705.53,811.95,13.11
a100_swe,2,24,631.72,741.11,14.76
a100_swe,2,25,115.59,157.81,26.76
a100_swe,2,26,426.34,504.82,15.55
a100_swe,2,27,784.24,880.3,10.91
a100_swe,2,28,554.44,668.43,17.05
a100_swe,2,29,975.72,1095.76,10.95
a100_swe,2,30,669.59,795.23,15.8
a100_swe,2,31,762.39,904.98,15.76
a100_swe,2,32,506.13,620.7,18.46
a100_swe,2,33,557.74,663.94,15.99
a100_swe,2,34,599.57,716.37,16.3
a100_swe,2,35,581.57,672.91,13.57
a100_swe,2,36,916.96,1049.98,12.67
a100_swe,2,37,751.52,874.06,14.02
a100_swe,2,38,765.54,877.25,12.73
a100_swe,2,39,924.98,1031.33,10.31
a100_swe,2,40,671.56,744.29,9.77
a100_swe,2,41,726.95,829.84,12.4
a100_swe,2,42,950.61,1066.75,10.89
a100_swe,2,43,792.92,899.85,11.88
a100_swe,2,44,593.86,673.89,11.88
a100_swe,2,45,890.26,991.64,10.22
a100_swe,2,46,882.53,1007.71,12.42
a100_swe,2,47,513.94,571.82,10.12
a100_swe,2,48,653.51,721.86,9.47
a100_swe,2,49,677.76,763.81,11.27
a100_swe,2,50,700.24,789.52,11.31
a100_swe,2,51,533.02,583.23,8.61
a100_swe,2,52,771.72,873.45,11.65
a100_swe,2,53,930.15,1047.14,11.17
a100_swe,2,54,906.67,1022.42,11.32
a100_swe,2,55,784.66,873.01,10.12
a100_swe,2,56,687.1,766.67,10.38
a100_swe,2,57,762.35,859.82,11.34
a100_swe,2,58,901.97,1009.96,10.69
a100_swe,2,59,979.77,1099.73,10.91
a100_swe,2,60,806.49,902.91,10.68
a100_swe,2,61,634.45,712.7,10.98
a100_swe,2,62,716.34,804.9,11.0
a100_swe,2,63,673.85,725.82,7.16
a100_swe,2,64,791.0,882.84,10.4
a100_swe,2,65,857.42,952.86,10.02
a100_swe,2,66,776.16,871.08,10.9
a100_swe,2,67,775.06,848.1,8.61
a100_swe,2,68,874.36,986.77,11.39
a100_swe,2,69,872.63,974.04,10.41
a100_swe,2,70,751.42,829.35,9.4
a100_swe,2,71,844.7,949.81,11.07
a100_swe,2,72,634.96,681.21,6.79
a100_swe,2,73,708.56,787.84,10.06
a100_swe,2,74,691.45,786.05,12.03
a100_swe,2,75,783.77,880.84,11.02
a100_swe,2,76,884.52,1001.32,11.66
a100_swe,2,77,748.5,835.98,10.46
a100_swe,2,78,814.22,918.02,11.31
a100_swe,2,79,706.8,785.38,10.01
a100_swe,2,80,541.24,612.02,11.56
a100_swe,2,81,684.83,768.3,10.86
a100_swe,2,82,745.97,847.29,11.96
a100_swe,2,83,847.76,959.73,11.67
a100_swe,2,84,855.91,971.96,11.94
a100_swe,2,85,826.33,927.4,10.9
a100_swe,2,86,873.76,996.04,12.28
a100_swe,2,87,676.73,736.2,8.08
a100_swe,2,88,658.63,738.86,10.86
a100_swe,2,89,814.21,914.57,10.97
a100_swe,2,90,834.44,950.93,12.25
a100_swe,2,91,723.43,816.16,11.36
a100_swe,2,92,777.05,871.0,10.79
a100_swe,2,93,824.19,931.22,11.49
a100_swe,2,94,782.24,883.01,11.41
a100_swe,2,95,577.16,640.24,9.85
a100_swe,2,96,735.91,818.18,10.06
a100_swe,2,97,838.45,959.03,12.57
a100_swe,2,98,829.46,945.25,12.25
a100_swe,2,99,787.03,892.47,11.81
